Make,Colour,Odometer (KM),Doors,Price
Nissan,CanyonRidge,161431,3,"$8,913.62"
BMW,Green,242890,5,"$19,283.08"
Ford,CanyonRidge,174387,5,"$9,155.99"
Honda,CanyonRidge,44283,3,"$8,269.27"
Honda,Blue,147422,3,"$7,367.80"
Nissan,CanyonRidge,156277,3,"$9,801.71"
Nissan,White,198372,5,"$8,786.15"
BMW,Red,197485,3,"$21,463.86"
Ford,Black,231364,3,"$11,778.96"
Toyota,White,190834,4,"$6,773.88"
Nissan,Red,155817,3,"$9,864.10"
Ford,Blue,52328,5,"$22,191.86"
BMW,Black,40288,4,"$16,155.94"
BMW,Black,109372,3,"$29,745.82"
Toyota,Red,70034,3,"$5,467.98"
Toyota,Red,158869,5,"$6,348.08"
BMW,Blue,39932,5,"$26,967.98"
Ford,Black,246751,3,"$4,170.84"
Toyota,Blue,75657,5,"$4,572.14"
Honda,Black,207908,5,"$7,423.36"
Ford,Blue,82556,5,"$10,770.12"
Ford,CanyonRidge,79512,5,"$21,263.42"
BMW,Blue,31047,4,"$17,838.41"
Nissan,Green,82416,3,"$8,357.43"
Ford,Red,195051,5,"$9,167.54"
Toyota,Blue,55662,3,"$7,227.34"
BMW,White,41760,5,"$24,282.44"
Nissan,Red,129437,4,"$8,018.78"
Toyota,Black,204200,3,"$4,175.36"
Toyota,White,160195,4,"$4,469.60"
Nissan,Green,227051,3,"$5,875.73"
Toyota,White,193325,3,"$4,460.96"
Honda,White,101166,3,"$6,789.81"
Honda,CanyonRidge,216461,4,"$5,387.10"
Ford,White,150776,3,"$5,647.41"
Nissan,Red,51354,5,"$3,337.62"
Toyota,Black,39636,3,"$6,089.12"
BMW,CanyonRidge,68210,4,"$17,943.84"
Toyota,White,209675,3,"$6,946.16"
Ford,Black,180782,5,"$15,508.41"
Ford,Red,219983,5,"$22,835.49"
Ford,Blue,140170,5,"$12,357.75"
Ford,Black,128434,4,"$18,564.60"
Nissan,Blue,226004,3,"$7,924.73"
Honda,Green,188659,3,"$6,378.82"
Nissan,Red,25926,4,"$4,789.98"
BMW,Black,89034,4,"$17,032.66"
Nissan,Blue,76321,4,"$6,475.36"
Toyota,Blue,206785,3,"$6,388.89"
Honda,Black,63389,3,"$5,334.60"
Toyota,Blue,91737,3,"$5,656.14"
Nissan,CanyonRidge,71010,3,"$5,277.85"
Nissan,Green,245876,5,"$6,799.07"
Ford,White,25774,3,"$15,712.39"
Toyota,White,115351,4,"$6,886.78"
BMW,Black,43937,3,"$24,239.32"
BMW,Red,103492,5,"$18,657.68"
Ford,White,151651,3,"$15,651.51"
Nissan,Green,113613,3,"$4,436.60"
Toyota,Black,149594,4,"$5,845.43"
Ford,Blue,90998,5,"$10,875.99"
Nissan,Red,221830,3,"$4,926.96"
Toyota,Green,34186,3,"$4,007.33"
Toyota,White,44884,5,"$5,518.09"
Honda,CanyonRidge,78188,4,"$6,337.82"
Honda,CanyonRidge,92532,3,"$7,360.69"
Honda,Black,228340,4,"$8,656.77"
Toyota,Blue,111448,4,"$5,344.46"
Toyota,Red,123181,3,"$7,667.37"
BMW,Blue,119695,3,"$20,407.67"
Ford,Black,141052,5,"$23,023.29"
Toyota,Red,12209,5,"$5,678.37"
Nissan,Green,201541,4,"$9,911.49"
BMW,Green,149908,3,"$25,183.26"
Toyota,CanyonRidge,197664,4,"$4,995.77"
Nissan,Black,220620,5,"$3,635.96"
Nissan,Green,19048,5,"$9,235.59"
Honda,Black,85092,4,"$8,068.90"
Honda,Black,156377,4,"$6,231.92"
Honda,CanyonRidge,176117,5,"$8,007.12"
BMW,Black,226932,5,"$27,923.37"
Nissan,Black,77134,5,"$3,975.61"
Nissan,White,89631,5,"$6,236.80"
Toyota,CanyonRidge,80742,4,"$7,345.35"
Honda,Black,27452,3,"$7,225.71"
Honda,Red,61623,5,"$8,119.28"
BMW,White,43430,5,"$29,770.04"
Nissan,White,42207,5,"$4,036.62"
Honda,Red,245776,3,"$8,266.23"
Toyota,Red,42687,4,"$7,313.66"
BMW,Blue,197010,3,"$20,388.61"
Toyota,White,168275,4,"$6,461.31"
BMW,CanyonRidge,161165,3,"$26,286.62"
Honda,Blue,80401,5,"$5,551.95"
Nissan,Green,156404,3,"$7,873.50"
Ford,Blue,145583,5,"$5,178.09"
BMW,Red,107623,3,"$26,133.36"
Honda,CanyonRidge,36053,4,"$7,017.00"
Ford,CanyonRidge,207711,5,"$20,320.81"
BMW,Red,176175,3,"$19,536.51"
Honda,Red,207197,3,"$8,976.23"
BMW,Black,49965,5,"$17,157.04"
Nissan,White,52045,5,"$3,867.79"
Ford,White,10742,4,"$9,115.33"
Ford,Black,244263,4,"$19,733.18"
BMW,Green,211701,3,"$26,141.08"
Nissan,Red,248861,4,"$4,103.79"
Honda,Blue,40243,3,"$6,629.42"
Ford,Blue,19595,5,"$21,878.85"
BMW,Black,185468,4,"$27,341.47"
Ford,White,55363,4,"$20,919.64"
Honda,Red,196931,5,"$7,246.40"
Ford,Blue,125759,3,"$15,570.58"
Ford,Black,84453,4,"$10,439.02"
Honda,Red,82988,5,"$7,685.63"
Honda,CanyonRidge,225260,5,"$5,893.78"
Honda,Red,227656,3,"$7,880.33"
Ford,Blue,32268,5,"$11,381.40"
Toyota,Black,151416,5,"$5,274.58"
Toyota,White,231486,5,"$7,224.51"
Honda,CanyonRidge,98793,3,"$6,879.43"
Honda,Red,187006,5,"$5,094.39"
Toyota,Black,31470,4,"$5,076.22"
Ford,Green,80778,5,"$7,082.40"
Ford,Blue,218503,4,"$5,755.90"
BMW,Red,14850,5,"$22,138.34"
BMW,Black,166221,5,"$29,523.69"
Toyota,CanyonRidge,37902,4,"$5,657.02"
Ford,Black,97291,3,"$11,223.06"
Toyota,CanyonRidge,71859,3,"$4,554.13"
Nissan,CanyonRidge,140499,5,"$9,832.57"
BMW,Blue,40026,3,"$24,374.05"
Nissan,Black,212539,4,"$9,805.74"
Nissan,White,121875,5,"$9,040.09"
Honda,Black,198053,3,"$6,125.20"
Ford,Blue,237845,5,"$18,841.96"
Ford,CanyonRidge,93494,4,"$11,303.16"
Toyota,Red,101152,4,"$6,489.75"
Nissan,Blue,90544,3,"$7,952.78"
Ford,CanyonRidge,55634,3,"$7,709.75"
BMW,Red,21797,5,"$23,786.00"
Nissan,Red,12520,4,"$5,574.11"
Nissan,Red,39772,3,"$3,991.54"
Nissan,White,144736,3,"$5,523.55"
Honda,Black,62271,5,"$8,867.09"
Honda,Red,241469,4,"$5,556.20"
Honda,White,151429,3,"$7,793.26"
Nissan,Green,187726,5,"$6,057.10"
Ford,Red,94108,3,"$20,590.24"
Honda,Green,159795,4,"$8,382.89"
BMW,Blue,25251,5,"$18,265.29"
Nissan,White,171303,3,"$5,312.43"
Ford,CanyonRidge,220695,5,"$23,619.63"
Toyota,Red,132477,3,"$6,744.38"
BMW,Black,155070,5,"$20,674.24"
Toyota,Green,179698,5,"$4,329.92"
Toyota,Green,224935,3,"$4,349.80"
Honda,Green,23093,3,"$7,867.55"
Nissan,Green,193941,5,"$4,770.27"
Nissan,Red,36694,4,"$3,207.75"
Nissan,White,154703,3,"$4,819.57"
Toyota,Green,148446,4,"$5,822.89"
Toyota,Blue,23148,5,"$6,050.09"
BMW,Black,156309,5,"$25,679.65"
Honda,Red,191822,5,"$8,670.66"
Ford,Red,238965,5,"$14,801.44"
Toyota,CanyonRidge,138522,5,"$5,857.07"
BMW,White,20118,4,"$20,781.35"
Toyota,Blue,20255,5,"$5,236.73"
Toyota,Black,195496,3,"$5,586.05"
Toyota,White,197135,4,"$6,339.33"
Toyota,Black,238028,5,"$4,162.50"
Honda,Black,93742,5,"$5,219.22"
Nissan,Black,92466,5,"$8,061.51"
Nissan,Black,247347,3,"$7,262.49"
Ford,Red,142928,5,"$10,502.42"
Toyota,White,163870,4,"$5,260.47"
Honda,Blue,12340,5,"$7,882.55"
BMW,White,136605,5,"$26,414.16"
Toyota,CanyonRidge,144363,4,"$7,985.54"
Nissan,Green,187783,5,"$7,125.79"
Ford,CanyonRidge,152522,3,"$6,783.92"
Nissan,Red,196432,5,"$8,746.21"
Ford,Blue,67942,5,"$21,979.36"
BMW,Red,231317,3,"$28,414.04"
BMW,Blue,218640,5,"$18,181.01"
Toyota,Green,241147,3,"$5,550.54"
Nissan,Green,219178,3,"$6,359.95"
Honda,CanyonRidge,20089,4,"$6,990.67"
Honda,Green,44799,3,"$6,055.30"
Ford,Black,84126,3,"$23,094.12"
Nissan,Green,30965,5,"$9,660.24"
Ford,Green,176593,3,"$23,956.04"
BMW,White,204039,3,"$15,318.77"
Honda,Blue,13339,5,"$5,044.29"
Ford,Red,185877,5,"$17,457.01"
Toyota,White,55007,3,"$5,146.58"
Ford,White,50384,5,"$10,677.60"
Toyota,Black,54278,3,"$4,249.60"
Toyota,Blue,19698,4,"$4,381.20"
Ford,White,135818,5,"$24,538.06"
Ford,Red,175633,3,"$15,350.52"
Toyota,CanyonRidge,197254,4,"$4,888.99"
Nissan,Blue,197919,3,"$7,290.24"
Honda,White,153548,5,"$6,232.73"
Honda,Green,22870,3,"$7,985.01"
Nissan,Red,38034,4,"$3,410.60"
Honda,CanyonRidge,194215,3,"$7,973.59"
BMW,Red,135061,5,"$27,302.73"
Honda,Green,119758,5,"$5,381.07"
BMW,CanyonRidge,98541,5,"$29,992.68"
Honda,Red,247612,5,"$8,047.12"
Ford,Red,140621,5,"$9,915.43"
Nissan,Green,183838,3,"$8,648.42"
Honda,CanyonRidge,100167,3,"$8,600.96"
Toyota,Green,54944,5,"$6,137.97"
BMW,CanyonRidge,29293,5,"$21,971.77"
BMW,Black,158927,5,"$19,381.02"
Toyota,Green,25083,3,"$4,534.21"
BMW,CanyonRidge,106585,5,"$23,646.21"
Nissan,Black,133446,5,"$8,109.95"
Toyota,White,128091,3,"$6,536.04"
BMW,Blue,156992,3,"$23,898.65"
Ford,White,238552,4,"$17,800.11"
Toyota,Blue,13986,4,"$5,620.49"
Nissan,CanyonRidge,249315,4,"$5,024.53"
Honda,Green,43150,3,"$5,081.75"
Nissan,Black,156042,3,"$6,928.54"
Ford,CanyonRidge,94764,4,"$21,833.49"
BMW,White,219444,5,"$27,588.59"
