incident_id,date_reported,app_name,client_name,impacted_clients,reported_by,ttd,ttk,ttm,ttc,rca_summary,rca_tags,team_owning,severity,category,incident_type
ad83d6d9-eae0-481c-99de-e13ca24e1594,2025-03-27 18:50:00,App29,Client1,"Client1, Client3, Client8",client,9,3,7,92,Kafka consumer in the pricing engine stalled due to incompatible schema update. Stale prices were served for approximately 92 minutes until restart.,"Kafka, Schema, Consumer",Team7,1,Application,Stale Data Pipeline
cf65cd0a-9cf3-483f-a729-4d5d4682251e,2025-05-09 15:39:00,App12,Client3,Client9,client,31,4,78,56,Report generation failed due to unhandled exception in newly added CSV export logic. Recovery took 56 minutes via hotfix.,"CSV, Exception, Bug",Team5,2,Application,Unhandled Exception
3008f803-a358-437a-96aa-8996ed2b498c,2025-04-30 08:13:00,App11,Client5,"Client8, Client1",client,25,2,19,49,External API latency caused user profile sync timeouts for ClientClient5 for around 49 minutes.,"API, Timeout, External",Team6,2,Integration,Upstream Latency
206e905d-b25d-4134-989e-53e1d7e6e1ac,2025-01-29 19:39:00,App6,Client10,"Client9, Client6, Client2",client,20,4,38,154,"A misconfigured firewall rule on the edge gateway blocked incoming traffic to all client-facing applications across regions. Monitoring alerts were delayed due to dependency on internal DNS, which was also down. Full platform outage lasted 154 minutes.","Firewall, DNS, Edge Gateway",Team5,0,Network,Network Isolation
fc2a8196-730e-4b02-aafc-114d504d4954,2025-04-15 10:30:00,App22,Client2,"Client3, Client1, Client6, Client5",client,33,11,14,94,Report generation failed due to unhandled exception in newly added CSV export logic. Recovery took 94 minutes via hotfix.,"CSV, Exception, Bug",Team5,2,Application,Unhandled Exception
ec230b87-311a-4a3f-9ff4-00bf0488a99b,2025-04-07 10:23:00,App28,Client5,"Client6, Client4, Client8, Client9",client,32,19,28,23,OAuth service failed token validation due to expired certificate in rotated key bundle. Affected clients faced login errors for 23 minutes.,"OAuth, Certificate, Auth",Team4,1,Security,Certificate Expiry
7317c163-fbc9-4376-9dda-2abfdf540821,2025-01-23 04:47:00,App2,Client3,Client3,client,6,19,19,73,OAuth service failed token validation due to expired certificate in rotated key bundle. Affected clients faced login errors for 73 minutes.,"OAuth, Certificate, Auth",Team5,1,Security,Certificate Expiry
f49f936e-6023-4b10-8d8a-c83b04ea5b41,2025-01-18 16:11:00,App18,Client1,"Client4, Client6",client,11,12,80,65,External API latency caused user profile sync timeouts for ClientClient1 for around 65 minutes.,"API, Timeout, External",Team14,2,Integration,Upstream Latency
e1283c25-1242-4bff-b41c-cf8c3f16facb,2025-04-08 08:19:00,App1,Client6,"Client7, Client2, Client9",client,11,9,30,71,OAuth service failed token validation due to expired certificate in rotated key bundle. Affected clients faced login errors for 71 minutes.,"OAuth, Certificate, Auth",Team7,1,Security,Certificate Expiry
5dfacadc-c701-4b71-8820-f2061e1730d4,2025-02-24 15:57:00,App21,Client5,"Client1, Client9, Client10",client,40,10,72,156,CI pipeline generated noise alerts due to log threshold misconfiguration. Engineering teams updated rule after 156 minutes.,"CI, Logging, Noise",Team11,3,Tooling,Alert Noise
9f0aeab4-4d94-4361-a072-08a74010bb78,2025-01-25 05:05:00,App16,Client2,"Client3, Client8",client,21,4,9,174,Kafka consumer in the pricing engine stalled due to incompatible schema update. Stale prices were served for approximately 174 minutes until restart.,"Kafka, Schema, Consumer",Team5,1,Application,Stale Data Pipeline
15535e6f-5a26-4c56-b796-3ed29fce4182,2025-04-22 22:32:00,App26,Client1,"Client10, Client6",client,19,12,11,101,Grafana dashboard query optimization needed. Internal metrics dashboard loaded slowly until fix in 101 minutes.,"Grafana, Query, Dashboard",Team9,3,Infra,Dashboard Slowness
96ea5c44-0937-4ad1-a9f9-4350ee2c25bd,2025-01-19 00:37:00,App20,Client7,"Client6, Client9, Client4",client,27,18,39,111,External API latency caused user profile sync timeouts for ClientClient7 for around 111 minutes.,"API, Timeout, External",Team9,2,Integration,Upstream Latency
